S_CODE,S_CITY,E_CODE,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
*,Albuquerque NM,*,Dallas/Fort Worth TX,1.02,3,No,1,0.52223,22089,28637,668159,3036732,0,Free,573,10941,84.46
*,Albuquerque NM,*,Las Vegas NV,1.08,0,Yes,1,0.764173,22089,24575,668159,1197234,0,Free,479,7170,72.43
*,Albuquerque NM,*,Los Angeles CA,1.09,3,No,1,0.493572,22089,24706,668159,9056076,0,Free,673,11980,76.79
*,Albuquerque NM,EWR,New York/Newark NY,1.92,3,No,0,0.194017,22089,32991,668159,8621121,0,Constrained,1822,4002,208.79
*,Albuquerque NM,JFK,New York/Newark NY,1.92,3,No,0,0.194017,22089,32991,668159,8621121,1,Free,1822,4002,208.79
*,Albuquerque NM,LGA,New York/Newark NY,1.92,3,No,0,0.194017,22089,32991,668159,8621121,1,free,1822,4002,208.79
*,Albuquerque NM,*,Phoenix AZ,1,3,No,1,0.636224,22089,23025,668159,2753373,0,Free,327,13947,57.05
*,Albuquerque NM,DCA,Washington DC,1.89,3,No,0,0.222574,22089,31981,668159,4549784,1,free,1643,3740,215.57
*,Albuquerque NM,IAD,Washington DC,1.89,3,No,0,0.222574,22089,31981,668159,4549784,0,free,1643,3740,215.57
*,Anchorage AK,*,Seattle/Tacoma WA,1.02,3,No,0,0.637259,28690,30916,249642,2230831,0,Free,1443,14474,142.83
*,Atlanta GA,*,Baltimore/Wash Intl MD,1.06,3,No,0,0.541916,26993,29838,3532657,7145897,0,free,576,8820,174.47
*,Atlanta GA,*,Boston MA,1.25,3,No,0,0.573634,26993,30124,3532657,5787293,0,Free,939,14005,210
*,Atlanta GA,*,Charlotte NC,1.01,3,No,0,0.443592,26993,25237,3532657,1318892,0,Constrained,227,7335,97.96
*,Atlanta GA,MDW,Chicago IL,1.04,3,No,0,0.271237,26993,29260,3532657,7830332,0,Free,595,30877,106.6
*,Atlanta GA,ORD,Chicago IL,1.04,3,No,0,0.271237,26993,29260,3532657,7830332,1,free,595,30877,106.6
*,Atlanta GA,*,Cincinnati OH,1.16,3,No,0,0.935013,26993,25059,3532657,1595139,0,Constrained,371,3892,215.83
*,Atlanta GA,*,Cleveland OH,1.12,3,No,0,0.447887,26993,26046,3532657,2915745,0,Free,561,4821,197.1
*,Atlanta GA,*,Columbus OH,1.13,3,No,0,0.535651,26993,24502,3532657,1442203,0,Free,445,6075,113.2
*,Atlanta GA,*,Dallas/Fort Worth TX,1.05,3,No,0,0.46249,26993,28637,3532657,3036732,0,Free,734,23075,113.99
*,Atlanta GA,*,Denver CO,1.23,3,No,0,0.420266,26993,29055,3532657,1862106,0,Free,1200,7621,210.9
*,Atlanta GA,*,Detroit MI,1.05,3,No,0,0.431295,26993,26506,3532657,4459144,0,Constrained,600,12752,106.56
*,Atlanta GA,*,Fort Lauderdale FL,1.02,3,Yes,0,0.703227,26993,26752,3532657,1440377,0,Free,578,11425,105.1
